SMILES,Predicted_KIBA_Score,PubChem_CID,Rank
CC1OC(OCC2OC(OCCc3ccc(O)c(O)c3)C(O)C(O)C2O)C(O)C(O)C1O,12.048053,76005395.0,57
CC(C)(CS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1)C#N,12.041064,169423139.0,58
Cc1ccc(cc1)S(=O)(=O)N1CCN(C[C@H]1C(=O)NCc1ccccc1)C(=O)CCl,12.04039,169423203.0,59
CC(C)(C)[C@H](NS(=O)(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COc1cccc(c1)C(F)(F)F)C2(C)C |r|,12.039005,165393829.0,60
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1CCOCC1,12.036228,169423138.0,61
COc1cccc(c1)-n1[se]c2ccccc2c1=O,12.027161,3067575.0,62
C[C@@H](NS(=O)(=O)c1cc(N)ccc1C)c1cccc2ccccc12,12.024271,156907247.0,63
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCCC1)C#N,12.015257,169423171.0,64
COc1ccc(c(OC)c1)-c1cccc(c1)S(=O)(=O)N[C@@H](Cc1cccc(c1)C(N)=N)C(=O)N1CCC(CCN)CC1,12.015174,71495660.0,65
CN(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(C#Cc2ccccc2)c2c(N)ncnc12)S(=O)(=O)c1ccc(C)c(c1)[N+]([O-])=O,12.010729,172449703.0,66
"CC[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC3CC3)NC(=O)[C@@H](NC1=O)C(C)(C)C)C(N)=O)ccn2 |r,c:9|",12.006213,164609151.0,67
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)N1CCOCC1,12.003895,156906217.0,68
COc1ccc(cc1C#N)S(=O)(=O)N(C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(C#Cc2cnc3ccccc3c2)c2c(N)ncnc12,12.002582,172442617.0,69
CC(C)C[C@H](N(C)C(=O)c1cc2c(OC3CC3)cccc2[nH]1)C(=O)N1C[C@]2(CC1C#N)C(=O)Nc1ccccc21,12.001496,165414304.0,70
COc1ccc(cc1C#N)S(=O)(=O)N(C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(C#Cc2ccccc2)c2c(N)ncnc12,11.996634,172440633.0,71
ClCC(=O)N1CCN([C@H](C1)C(=O)NCc1ccccc1)S(=O)(=O)c1ccsc1,11.994911,169423207.0,72
"C[C@H](C\C=C\C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@]45OC(O)[C@@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C5(C)C |c:15,TLB:20:19:14.15.16:26|",11.990486,169423371.0,73
FC(F)(C(=O)N1CCN([C@@H](C1)C(=O)NCc1cccs1)c1ccc(Cl)c(Cl)c1)S(F)(=O)=O,11.984297,168284002.0,74
COc1cccc2[nH]c(cc12)C(=O)N(C)[C@@H](CC(C)C)C(=O)N1C[C@]2(CC1C(=O)NS(=O)(=O)C1CC1)C(=O)Nc1ccccc21,11.980822,165414261.0,75
Cc1cncc(-n2c(=O)c(-c3ccc(F)c(Cl)c3)c(-c3ccc(S(N)(=O)=O)cc3)n(CC#N)c2=O)c1,11.978568,176510722.0,76
"CS(=O)(=O)c1ccc2c(NC(=O)C34CC(C3)Oc3ccc(Cl)cc43)cncc2c1 |TLB:22:23:13:15,(-1.33,7.96,;-.31,6.8,;-1.47,5.78,;.84,7.82,;.71,5.65,;.21,4.19,;1.23,3.03,;2.74,3.33,;3.76,2.18,;3.27,.72,;1.76,.41,;.74,1.57,;1.26,-1.04,;.22,-.23,;.48,-1.74,;.33,-3.04,;2.29,-1.74,;3.25,-2.54,;4.69,-3.07,;5.88,-2.09,;5.62,-.57,;6.81,.41,;4.18,-.04,;2.99,-1.02,;5.27,2.48,;5.76,3.94,;4.74,5.1,;3.23,4.79,;2.21,5.95,)|",11.969268,169423291.0,77
CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)-c3cc(F)c4nc(C)n(C(C)C)c4c3)nc2)CC1,11.967518,46220502.0,78
CC(C)C[C@H](N(C)C(=O)c1cc2c(Cl)cc(F)cc2[nH]1)C(=O)N1C[C@]2(CC1C#N)C(=O)Nc1ccccc21,11.9672985,165414294.0,79
CC(C)(C)[C@H](NS(=O)(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COc1ccc(F)cc1F)C2(C)C |r|,11.96719,165393932.0,80
CC(C)(C)[C@H](NC(=O)C1CC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C2(C)C |r|,11.96698,167331612.0,81
CC(C)C[C@H](N(C)C(=O)c1cc2c(OC3CC3)cccc2[nH]1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21,11.96392,163373387.0,82
O=c1n([se]c2ccccc12)-c1cccc(c1)N(=O)=O,11.960663,88621273.0,83
CC(C)C[C@H](N(C)C(=O)c1cc2c(F)cc(F)cc2[nH]1)C(=O)N1C[C@@]2(C[C@H]1C#N)CCCNC2=O,11.960524,169714843.0,84
CC(C)C[C@H](N(C)C(=O)c1cc2c(Cl)cc(F)cc2[nH]1)C(=O)N1C[C@]2(C[C@H]1C#N)C(=O)Nc1ccccc21,11.959793,163373202.0,85
"CC[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(C[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC3CC3)NC(=O)[C@@H](NC1=O)C(C)(C)C)C(N)=O)ccn2 |r,c:9|",11.95327,164622507.0,86
CCCCOC(=O)NS(=O)(=O)c1ccc(Cc2cccc(OC)c2)cc1-c1ccc(Cn2c(CC)nc3c(C)cc(C)nc23)cc1,11.951612,9852384.0,87
CCCc1cc2OCOc2cc1S(=O)(=O)N1CCN(CC1)c1ccccc1OC,11.950557,156906341.0,88
CCn1c(CSc2nc(C)c(C)n2CC2CCCO2)nc2cc(ccc12)S(=O)(=O)N(C)C,11.94175,42918649.0,89
CC(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COc1cccc(c1)C(F)(F)F)C2(C)C |r|,11.939727,166594679.0,90
CC(C)c1cc2CCC3C(C)(C)CCC[C@]3(C)c2cc1O,11.938241,403773.0,91
O=C1CCN(CC1)S(=O)(=O)c1cccs1,11.935795,10776779.0,92
CC(C)C(=O)N[C@@H](C1CC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@@H](C[C@@H]1CCNC1=O)C#N)C2(C)C |r|,11.935345,166157023.0,93
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC1CC1)C(=O)N[C@]1(CCc2cccnc2C1)C#N |r|,11.9325905,162396215.0,94
Clc1ccc2CN(C[C@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,11.931356,156906152.0,95
CN(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(C#Cc2ccccc2)c2c(N)ncnc12)S(=O)(=O)c1ccc(Br)c(c1)[N+]([O-])=O,11.930746,172453615.0,96
Clc1ccc2CN(C[C@@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CNC1)C#N,11.930242,169423290.0,97
Cc1cncc(-n2c(=O)c(-c3ccc(F)c(Cl)c3)c(NS(=O)(=O)c3ccccc3)n(CC#N)c2=O)c1,11.930095,176510723.0,98
OCCS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,11.927573,156906294.0,99
CCOC(=O)c1nc(ncc1Cl)S(C)(=O)=O,11.925652,854805.0,100
CC1OC(OCC2OC(OCCc3ccc(O)c(O)c3)C(O)C(O)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O |w:28.29|,11.923255,6124214.0,101
COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC1CC1)C(=O)N[C@]1(CCc2cccnc2C1)C#N,11.919725,162396215.0,102
CC(C)C[C@H](N(C)C(=O)c1cc2c(F)cccc2[nH]1)C(=O)N1C[C@]2(CC1C(=O)C(=O)NC1CC1)C(=O)Nc1ccccc21,11.915869,165414259.0,103
CC(C)(CS(=O)(=O)N1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1)C#N,11.915387,169423266.0,104
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)C1COC1,11.914852,156906296.0,105
CNC(=O)NCCC1CCN(CC1)C(=O)[C@H](Cc1cccc(c1)C(N)=N)NS(=O)(=O)c1cccc(c1)-c1ccc(OC)cc1OC,11.9148445,90666144.0,106
CCc1cc(F)ccc1-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,11.912522,154873531.0,107
CC(C)c1cc2CCC3[C@@](C)(CCC[C@@]3(C)c2cc1O)C=O,11.911257,154732728.0,108
COC(C)(C)\C=C\C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@@]3(CC[C@]12C)C=O |c:30|,11.911181,57330180.0,109
CN(C)S(=O)(=O)c1cc(cc(C)c1C)C(=O)N1CCC(CC1)C1CCNC1,11.910743,132359780.0,110
CC(C)C[C@H](N(C)C(=O)c1cc2c(F)cccc2[nH]1)C(=O)N1C[C@]2(C[C@H]1C(=O)C(=O)NC1CC1)C(=O)Nc1ccccc21,11.910332,164776953.0,111
